surface_m2,rooms,floor,max_floor,price,neighborhood,year_built,elevator,construction_material,latitude,longitude,metro_proximity,stb_proximity
55.3,2,7,8,102000,48,2025,1,0,44.368748,26.124708,1.473660317,0.160828635
105.0,3,5,6,398999,88,2015,1,0,44.41389,26.117353,0.44337288,0.062089107
47.31,2,2,5,91900,66,2013,1,0,44.38796,26.059591,3.443179423,0.070957749
115.27,4,3,7,148760,76,2026,1,-1,44.41991,26.19996,1.43105266,0.595303281
50.0,2,4,10,136000,78,1977,1,0,44.411873,26.109728,0.514249728,0.1264725
46.4,2,5,6,100500,48,2025,1,0,44.368534,26.12119,1.667858299,0.181639958
51.0,2,4,10,107000,10,1983,1,0,44.39481,26.116497,0.505299173,0.1784284
70.4,3,5,6,109444,48,2026,1,1,44.36865,26.112894,2.161332281,0.130550948
86.2,3,3,4,137919,76,2026,1,2,44.414295,26.201166,0.919723761,0.828194521
50.0,2,8,8,87000,67,2012,1,-1,44.443016,25.986296,1.434240676,0.413783333
49.07,2,9,12,102445,48,2025,1,0,44.367184,26.124887,1.505298867,0.176833847
56.0,2,7,9,135000,29,1985,1,3,44.419426,26.137112,0.253675228,0.062596957
50.0,2,1,7,106000,48,2025,1,2,44.3613,26.149147,0.952594012,0.018991323
76.0,3,3,7,225000,88,1989,1,-1,44.41925,26.128479,0.804313512,0.170993688
65.0,3,3,10,119000,10,1972,0,-1,44.382492,26.117283,1.228816385,0.151568482
45.0,3,7,7,96000,30,1973,1,0,44.420483,26.033398,0.173527357,0.225396461
62.95,2,0,3,102000,76,2023,1,0,44.419334,26.197123,1.311465638,0.426878393
70.0,3,3,10,135000,30,1983,1,-1,44.41857,26.042032,0.542785628,0.00497395
52.52,2,1,12,100450,48,2025,1,0,44.3666,26.124887,1.514998301,0.118313969
52.1,2,0,7,100000,65,2025,1,0,44.37607,26.102432,2.452213177,0.163232624
53.5,2,6,7,139900,79,2022,1,1,44.41639,26.188002,1.077393769,0.539867399
64.67,2,1,3,115000,76,2025,1,0,44.41484,26.205997,1.04286379,0.940999925
64.0,2,4,4,139900,12,2019,0,-1,44.41499,26.00348,1.051222913,0.256470858
48.0,2,4,4,84000,30,1969,0,0,44.425846,26.033548,0.423199895,0.148364346
51.32,2,1,12,100300,48,2025,1,0,44.36698,26.125013,1.498464312,0.152081128
38.0,1,6,6,100000,3,2025,1,0,44.378418,26.13346,0.200123761,0.195870888
47.04,2,2,7,76264,76,2026,1,-1,44.416576,26.20275,1.198733482,0.95687385
90.87,3,3,7,119835,76,2026,1,-1,44.41991,26.19996,1.43105266,0.595303281
40.0,1,1,7,67000,63,2026,1,2,44.360615,26.152748,1.172005163,0.274200085
70.0,3,8,8,130000,52,1997,0,-1,44.43181,26.018791,0.324032518,0.036226916
40.0,2,9,9,140000,20,1958,1,-1,44.436142,26.102684,0.031835697,0.078661407
58.0,2,2,5,99918,3,2025,1,0,44.378445,26.14511,0.784401097,0.5993047
60.0,3,3,10,139990,42,1978,0,0,44.382397,26.09326,2.209101848,0.075599809
57.7,2,1,6,89842,48,2026,1,1,44.36868,26.112816,2.164587709,0.137591367
60.9,2,1,4,85900,76,2026,1,1,44.411736,26.206163,0.703027088,0.638931305
61.0,2,5,9,210000,61,2025,1,-1,44.474808,26.115934,0.655690731,0.35167939
63.0,2,1,6,113500,63,2025,1,2,44.36533,26.14722,0.48886104,0.387558106
55.0,2,7,7,88500,48,2025,1,2,44.36741,26.114471,2.143304373,0.076150065
50.0,2,2,4,99499,66,1983,0,-1,44.41002,26.071667,2.047800446,0.166256066
76.87,3,6,12,123000,76,2025,1,0,44.411728,26.199518,0.617664063,0.521116946
49.0,2,5,6,82800,3,2026,1,2,44.373013,26.130527,0.826474572,0.070017485
